epoch,accuracy,auc,categorical_accuracy,categorical_crossentropy,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_categorical_accuracy,val_categorical_crossentropy,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.7793442010879517,0.8589206337928772,0.7793442010879517,0.8231872916221619,796355.0,41243.0,1.0537548065185547,0.948311984539032,0.48722630739212036,6170893.0,756679.0,0.9166299700737,0.9631654620170593,0.9166299700737,0.36235055327415466,44052.0,14370.0,0.40412846207618713,0.949314296245575,0.8593459725379944,1238406.0,269142.0
1,0.9015958309173584,0.9544647336006165,0.9015958309173584,0.3603264093399048,229970.0,94345.0,0.5099318027496338,0.9334384202957153,0.8519220948219299,6117791.0,1323064.0,0.924733579158783,0.9727026224136353,0.924733579158783,0.25607651472091675,29770.0,17909.0,0.3007088899612427,0.9405674338340759,0.9049471020698547,1234867.0,283424.0
2,0.9197885990142822,0.9699272513389587,0.9197885990142822,0.264220267534256,159256.0,94503.0,0.3952769935131073,0.9365019202232361,0.8974549174308777,6117633.0,1393778.0,0.9312917590141296,0.9787817597389221,0.9312917590141296,0.21303023397922516,25087.0,17800.0,0.25897127389907837,0.9418123960494995,0.9198994636535645,1234976.0,288107.0
3,0.9294013977050781,0.9774640798568726,0.9294013977050781,0.2180592119693756,130092.0,89697.0,0.33648648858070374,0.9407016634941101,0.9162336587905884,6122439.0,1422942.0,0.9363653063774109,0.982646107673645,0.9363653063774109,0.18730701506137848,22408.0,17163.0,0.23418866097927094,0.9442667365074158,0.928453266620636,1235613.0,290786.0
4,0.9355847835540771,0.9815533757209778,0.9355847835540771,0.19163474440574646,114338.0,85437.0,0.3021288514137268,0.9439438581466675,0.9263776540756226,6126699.0,1438696.0,0.9394879937171936,0.9845603108406067,0.9394879937171936,0.17305319011211395,20964.0,16579.0,0.22037015855312347,0.9463130831718445,0.9330638647079468,1236197.0,292230.0
5,0.9397965669631958,0.9839836955070496,0.9397965669631958,0.17499051988124847,104634.0,81507.0,0.28018030524253845,0.9467242360115051,0.9326260685920715,6130629.0,1448400.0,0.9425084590911865,0.9860054850578308,0.9425084590911865,0.16265851259231567,19739.0,15962.0,0.20992635190486908,0.9484126567840576,0.9369751811027527,1236814.0,293455.0
6,0.9430179595947266,0.9856209754943848,0.9430179595947266,0.16342176496982574,97880.0,78122.0,0.2645927369594574,0.9490489363670349,0.9369750022888184,6134014.0,1455154.0,0.9444242119789124,0.986741304397583,0.9444242119789124,0.1563604325056076,18960.0,15496.0,0.20316064357757568,0.9499693512916565,0.939462423324585,1237280.0,294234.0
7,0.9457024335861206,0.986787736415863,0.9457024335861206,0.1548742800951004,92488.0,74871.0,0.2525765299797058,0.9512373805046082,0.9404469132423401,6137265.0,1460546.0,0.9463782906532288,0.9874835014343262,0.9463782906532288,0.15069261193275452,18279.0,15058.0,0.1968250721693039,0.9514215588569641,0.9416368007659912,1237718.0,294915.0
8,0.9479386806488037,0.9877176880836487,0.9479386806488037,0.1480080485343933,88397.0,72159.0,0.2427087277173996,0.9530458450317383,0.9430810809135437,6139977.0,1464637.0,0.947850227355957,0.9878436326980591,0.947850227355957,0.14715315401554108,17757.0,14701.0,0.19245857000350952,0.952598512172699,0.9433035254478455,1238075.0,295437.0
9,0.9497905373573303,0.988446831703186,0.9497905373573303,0.14241260290145874,85085.0,69887.0,0.234358012676239,0.9545549750328064,0.9452136754989624,6142249.0,1467949.0,0.9494786262512207,0.9886072874069214,0.9494786262512207,0.14207711815834045,17183.0,14253.0,0.1865464746952057,0.9540616869926453,0.9451362490653992,1238523.0,296011.0
10,0.9514549970626831,0.9890775084495544,0.9514549970626831,0.13758762180805206,82110.0,67654.0,0.22722816467285156,0.9560282230377197,0.9471293091773987,6144482.0,1470924.0,0.950264036655426,0.988810122013092,0.950264036655426,0.13980193436145782,16845.0,14007.0,0.18344710767269135,0.954867959022522,0.9462154507637024,1238769.0,296349.0
11,0.9529269933700562,0.9896748065948486,0.9529269933700562,0.13333827257156372,79466.0,65749.0,0.22072039544582367,0.9572868943214417,0.9488317966461182,6146387.0,1473568.0,0.9509153962135315,0.9889865517616272,0.9509153962135315,0.1376776546239853,16628.0,13865.0,0.18057812750339508,0.9553362727165222,0.9469082951545715,1238911.0,296566.0
12,0.9541407227516174,0.9900900721549988,0.9541407227516174,0.12988050282001495,77292.0,64308.0,0.21533921360969543,0.9582428932189941,0.9502316117286682,6147828.0,1475742.0,0.9520361423492432,0.989220917224884,0.9520361423492432,0.1356070190668106,16267.0,13566.0,0.17772527039051056,0.9563081860542297,0.948060929775238,1239210.0,296927.0
13,0.9552759528160095,0.9905233383178711,0.9552759528160095,0.12672318518161774,75259.0,62838.0,0.21039140224456787,0.9592123627662659,0.9515406489372253,6149298.0,1477775.0,0.952764093875885,0.9894919991493225,0.952764093875885,0.13354875147342682,15990.0,13449.0,0.1750507950782776,0.9567072987556458,0.9489454030990601,1239327.0,297204.0
14,0.956255316734314,0.9908403158187866,0.956255316734314,0.12394304573535919,73439.0,61643.0,0.20600952208042145,0.9600042104721069,0.9527125358581543,6150493.0,1479595.0,0.9532589912414551,0.9895570278167725,0.9532589912414551,0.1324140578508377,15794.0,13307.0,0.17326103150844574,0.9571718573570251,0.9495711922645569,1239469.0,297400.0
15,0.9568290114402771,0.9911125302314758,0.9568290114402771,0.12176784873008728,72299.0,60817.0,0.20247256755828857,0.9605482220649719,0.953446626663208,6151319.0,1480735.0,0.9539997577667236,0.9899450540542603,0.9539997577667236,0.12996846437454224,15481.0,13086.0,0.17024637758731842,0.9578956365585327,0.9505705833435059,1239690.0,297713.0
16,0.9577208161354065,0.9914058446884155,0.9577208161354065,0.11946073174476624,70739.0,59871.0,0.19886213541030884,0.9611773490905762,0.9544510841369629,6152265.0,1482295.0,0.9544339776039124,0.9899858236312866,0.9544339776039124,0.129233255982399,15326.0,13004.0,0.16894324123859406,0.9581692814826965,0.9510654807090759,1239772.0,297868.0
17,0.9582333564758301,0.9916295409202576,0.9582333564758301,0.11760417371988297,69828.0,59094.0,0.19581930339336395,0.96168452501297,0.9550377130508423,6153042.0,1483206.0,0.9549320936203003,0.9902704954147339,0.9549320936203003,0.12750333547592163,15124.0,12849.0,0.1666891872882843,0.9586741328239441,0.9517104625701904,1239927.0,298070.0
18,0.9588560461997986,0.9918731451034546,0.9588560461997986,0.11581041663885117,68711.0,58222.0,0.19296683371067047,0.9622558951377869,0.9557569026947021,6153914.0,1484323.0,0.9551779627799988,0.9902341961860657,0.9551779627799988,0.1272582709789276,15030.0,12846.0,0.16597242653369904,0.9586958885192871,0.9520105719566345,1239930.0,298164.0
19,0.9594271779060364,0.9920297265052795,0.9594271779060364,0.11435771733522415,67845.0,57542.0,0.19045168161392212,0.9627012014389038,0.9563145637512207,6154594.0,1485189.0,0.9555227756500244,0.9904444813728333,0.9555227756500244,0.12597395479679108,14888.0,12726.0,0.16421183943748474,0.9590845704078674,0.9524639844894409,1240050.0,298306.0
