epoch,accuracy,auc,categorical_accuracy,categorical_crossentropy,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_categorical_accuracy,val_categorical_crossentropy,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.3013242483139038,0.2887382209300995,0.3013242483139038,1.5790623426437378,1551890.0,289.0,1.9228593111038208,0.7988865971565247,0.000739196315407753,6211863.0,1148.0,0.6285959482192993,0.7124858498573303,0.6285959482192993,1.3616091012954712,313086.0,2.0,1.3651834726333618,0.9824561476707458,0.0003576012677513063,1252790.0,112.0
1,0.673031210899353,0.7426502704620361,0.673031210899353,1.2236887216567993,1434619.0,4235.0,1.49537193775177,0.9654719829559326,0.07624990493059158,6207917.0,118419.0,0.8615540266036987,0.9125884771347046,0.8615540266036987,0.9948639869689941,244246.0,1304.0,0.9987126588821411,0.9814392924308777,0.22015465795993805,1251488.0,68952.0
2,0.8103111386299133,0.8696148991584778,0.8103111386299133,0.9218979477882385,997292.0,23253.0,1.137760043144226,0.9598392844200134,0.35784444212913513,6188899.0,555746.0,0.8889903426170349,0.9401238560676575,0.8889903426170349,0.7123103141784668,132901.0,4823.0,0.716522216796875,0.9739466309547424,0.5756645798683167,1247969.0,180297.0
3,0.8455697894096375,0.9051347374916077,0.8455697894096375,0.7073051333427429,630457.0,49337.0,0.887352466583252,0.9492374658584595,0.5940492153167725,6162815.0,922581.0,0.899635374546051,0.952483594417572,0.899635374546051,0.5330296754837036,79810.0,8669.0,0.5375889539718628,0.9641861319541931,0.745177149772644,1244123.0,233388.0
4,0.862337589263916,0.9233015775680542,0.862337589263916,0.5700104832649231,447677.0,72304.0,0.7303810119628906,0.938603937625885,0.7117410898208618,6139848.0,1105361.0,0.9066948294639587,0.9602635502815247,0.9066948294639587,0.4249213933944702,57415.0,11938.0,0.42977175116539,0.9554088115692139,0.816681444644928,1240854.0,255783.0
5,0.8744776248931885,0.9356086850166321,0.8744776248931885,0.4800264835357666,349071.0,88058.0,0.6296698451042175,0.93184494972229,0.7752334475517273,6124094.0,1203967.0,0.9125792384147644,0.9655187129974365,0.9125792384147644,0.3572780191898346,46060.0,14152.0,0.36236220598220825,0.9496889114379883,0.8529365062713623,1238640.0,267138.0
6,0.8841850757598877,0.9443188905715942,0.8841850757598877,0.41835740208625793,288463.0,97757.0,0.5621307492256165,0.9282429218292236,0.814258873462677,6114395.0,1264575.0,0.9167203903198242,0.969096839427948,0.9167203903198242,0.3131525218486786,39237.0,15671.0,0.3184235990047455,0.945893406867981,0.8747214078903198,1237121.0,273961.0
7,0.8913864493370056,0.9507462382316589,0.8913864493370056,0.37456434965133667,248374.0,103737.0,0.514546811580658,0.9263441562652588,0.8400721549987793,6108415.0,1304664.0,0.9197791814804077,0.9716252088546753,0.9197791814804077,0.28299057483673096,34931.0,16762.0,0.288411021232605,0.9431852698326111,0.888469934463501,1236030.0,278267.0
8,0.8974648118019104,0.955451250076294,0.8974648118019104,0.3426356911659241,220766.0,106696.0,0.47933611273765564,0.9258524179458618,0.8578489422798157,6105456.0,1332272.0,0.9222217202186584,0.9734262228012085,0.9222217202186584,0.26207423210144043,31976.0,17485.0,0.26761236786842346,0.941464364528656,0.8979048132896423,1235307.0,281222.0
9,0.9019270539283752,0.9590104818344116,0.9019270539283752,0.31897735595703125,201354.0,108493.0,0.4524129033088684,0.9256987571716309,0.870348334312439,6103659.0,1351684.0,0.9241917133331299,0.9748237729072571,0.9241917133331299,0.246940016746521,29917.0,17861.0,0.25257012248039246,0.9406890869140625,0.9044789671897888,1234931.0,283281.0
