epoch,accuracy,auc,categorical_accuracy,categorical_crossentropy,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_categorical_accuracy,val_categorical_crossentropy,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.5590347051620483,0.6017953753471375,0.5590347051620483,1.2069779634475708,1102717.0,123904.0,1.4431664943695068,0.784223198890686,0.28996044397354126,6088240.0,450319.0,0.8050645589828491,0.869509756565094,0.8050645589828491,0.7507683634757996,121314.0,15436.0,0.7507683634757996,0.9255443215370178,0.612657904624939,1237348.0,191882.0
1,0.7980079054832458,0.8689780831336975,0.7980079054832458,0.7211399078369141,532644.0,97878.0,0.8711510896682739,0.912473738193512,0.657030463218689,6114266.0,1020392.0,0.8740405440330505,0.9315824508666992,0.8740405440330505,0.5205912590026855,66947.0,15998.0,0.5205912590026855,0.938996434211731,0.7862456440925598,1236786.0,246249.0
2,0.847362220287323,0.9102456569671631,0.847362220287323,0.5772192478179932,373015.0,101908.0,0.7059946656227112,0.9205041527748108,0.7598156332969666,6110236.0,1180021.0,0.8937023282051086,0.9467865824699402,0.8937023282051086,0.436909019947052,51699.0,16952.0,0.436909019947052,0.9391199350357056,0.8349308371543884,1235832.0,261497.0
3,0.8695909380912781,0.9276261329650879,0.8695909380912781,0.5039360523223877,304743.0,102552.0,0.622170090675354,0.9240830540657043,0.80377596616745,6109592.0,1248293.0,0.9036865234375,0.9543938636779785,0.9036865234375,0.3904556930065155,44457.0,17314.0,0.3904556930065155,0.9394727349281311,0.8580537438392639,1235470.0,268739.0
4,0.883578360080719,0.9384738206863403,0.883578360080719,0.45241764187812805,263547.0,101512.0,0.5633850693702698,0.9270223379135132,0.8303020596504211,6110632.0,1289489.0,0.9107236266136169,0.9598573446273804,0.9107236266136169,0.3548574447631836,39561.0,17447.0,0.3548574447631836,0.9400615692138672,0.8736861348152161,1235337.0,273635.0
5,0.8940063118934631,0.9466167092323303,0.8940063118934631,0.4089427888393402,232829.0,100172.0,0.5147057175636292,0.9294751882553101,0.8500813841819763,6111972.0,1320207.0,0.9164324998855591,0.9643433094024658,0.9164324998855591,0.3243812024593353,35813.0,17527.0,0.3243812024593353,0.9405683279037476,0.8856530785560608,1235257.0,277383.0
6,0.9023280739784241,0.9532871246337891,0.9023280739784241,0.37012234330177307,207894.0,98916.0,0.4717428386211395,0.9315013885498047,0.8661370277404785,6113228.0,1345142.0,0.9209792017936707,0.9680826663970947,0.9209792017936707,0.2971966862678528,32714.0,17466.0,0.2971966862678528,0.9413790106773376,0.8955478072166443,1235318.0,280482.0
7,0.9091386198997498,0.9587093591690063,0.9091386198997498,0.3358286917209625,186877.0,97954.0,0.43437471985816956,0.933096706867218,0.8796699047088623,6114190.0,1366159.0,0.9245712161064148,0.9710252285003662,0.9245712161064148,0.2742840349674225,30074.0,17530.0,0.2742840349674225,0.9416933655738831,0.9039770364761353,1235254.0,283122.0
8,0.9141185283660889,0.9629339575767517,0.9141185283660889,0.30742478370666504,170127.0,97745.0,0.4037553668022156,0.9339852333068848,0.8904551863670349,6114399.0,1382909.0,0.9270457029342651,0.9732022881507874,0.9270457029342651,0.25590980052948,28070.0,17654.0,0.25590980052948,0.9416936635971069,0.9103755950927734,1235130.0,285126.0
9,0.9177507758140564,0.9658738970756531,0.9177507758140564,0.28578221797943115,157497.0,98368.0,0.3804928958415985,0.9341538548469543,0.8985876441001892,6113776.0,1395539.0,0.9287410974502563,0.9746565818786621,0.9287410974502563,0.24281026422977448,26682.0,17870.0,0.24281026422977448,0.9412912726402283,0.9148073196411133,1234914.0,286514.0
10,0.9199573993682861,0.9679528474807739,0.9199573993682861,0.27010342478752136,148832.0,99102.0,0.3636934757232666,0.9340773224830627,0.9041670560836792,6113042.0,1404204.0,0.9298298954963684,0.9755131602287292,0.9298298954963684,0.2334674447774887,25662.0,18142.0,0.2334674447774887,0.9406495690345764,0.9180641174316406,1234642.0,287534.0
11,0.921419084072113,0.9692749977111816,0.921419084072113,0.25937309861183167,143275.0,99983.0,0.35169142484664917,0.9337748885154724,0.9077452421188354,6112161.0,1409761.0,0.9306121468544006,0.976162314414978,0.9306121468544006,0.22629262506961823,24960.0,18324.0,0.22629262506961823,0.9402270317077637,0.9203054904937744,1234460.0,288236.0
12,0.9224081039428711,0.970200777053833,0.9224081039428711,0.25151756405830383,139064.0,100768.0,0.34298813343048096,0.9334750771522522,0.910456657409668,6111376.0,1413972.0,0.9314199686050415,0.9767533540725708,0.9314199686050415,0.2204541563987732,24338.0,18399.0,0.2204541563987732,0.9401185512542725,0.9222914576530457,1234385.0,288858.0
13,0.9230945110321045,0.970851719379425,0.9230945110321045,0.24594731628894806,136147.0,101417.0,0.33655595779418945,0.9332038760185242,0.9123349189758301,6110727.0,1416889.0,0.9320297837257385,0.9770693182945251,0.9320297837257385,0.21637830138206482,23906.0,18499.0,0.21637830138206482,0.9398971199989319,0.9236708283424377,1234285.0,289290.0
14,0.9235916137695312,0.9712973833084106,0.9235916137695312,0.241812065243721,133979.0,101896.0,0.33176207542419434,0.933005154132843,0.9137309193611145,6110248.0,1419057.0,0.9326395988464355,0.977424144744873,0.9326395988464355,0.21308115124702454,23513.0,18510.0,0.21308115124702454,0.9399402141571045,0.9249256253242493,1234274.0,289683.0
15,0.9239676594734192,0.9716566801071167,0.9239676594734192,0.2387770563364029,132354.0,102364.0,0.32811999320983887,0.9327899217605591,0.9147772789001465,6109780.0,1420682.0,0.932783305644989,0.9776022434234619,0.932783305644989,0.2109093815088272,23320.0,18607.0,0.2109093815088272,0.9396822452545166,0.9255418181419373,1234177.0,289876.0
16,0.9241195917129517,0.9718926548957825,0.9241195917129517,0.23651111125946045,131245.0,102843.0,0.32535046339035034,0.9325457811355591,0.9154913425445557,6109301.0,1421791.0,0.9329748749732971,0.9777547717094421,0.9329748749732971,0.20917202532291412,23133.0,18602.0,0.20917201042175293,0.9397340416908264,0.9261388778686523,1234182.0,290063.0
17,0.9243810176849365,0.9720927476882935,0.9243810176849365,0.2347751408815384,130297.0,103092.0,0.32320529222488403,0.9324355125427246,0.9161017537117004,6109052.0,1422739.0,0.9330546855926514,0.9777456521987915,0.9330546855926514,0.20822066068649292,23035.0,18642.0,0.20822066068649292,0.9396314024925232,0.9264518022537231,1234142.0,290161.0
18,0.9245156049728394,0.9722181558609009,0.9245156049728394,0.23346537351608276,129646.0,103250.0,0.32149308919906616,0.9323678016662598,0.9165209531784058,6108894.0,1423390.0,0.9331664443016052,0.9777791500091553,0.9331664443016052,0.20721589028835297,22927.0,18717.0,0.20721589028835297,0.939424455165863,0.9267966151237488,1234067.0,290269.0
19,0.9245529174804688,0.9722927212715149,0.9245529174804688,0.23252812027931213,129169.0,103589.0,0.3201001286506653,0.9321820139884949,0.9168280959129333,6108555.0,1423867.0,0.933383584022522,0.9779322743415833,0.933383584022522,0.20622096955776215,22828.0,18703.0,0.20622098445892334,0.9394863843917847,0.9271127581596375,1234081.0,290368.0
