epoch,accuracy,auc,categorical_accuracy,categorical_crossentropy,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_categorical_accuracy,val_categorical_crossentropy,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.8214108347892761,0.8699606657028198,0.8214108347892761,0.8912707567214966,862385.0,38753.0,1.1773983240127563,0.9468701481819153,0.44470950961112976,6173383.0,690649.0,0.9143310785293579,0.9616896510124207,0.9143310785293579,0.3333151340484619,36092.0,18312.0,0.37782347202301025,0.938012421131134,0.8847615122795105,1234464.0,277102.0
1,0.9019911885261536,0.9528847932815552,0.9019911885261536,0.3462253510951996,195437.0,112200.0,0.5195087790489197,0.9236629009246826,0.8741579651832581,6099936.0,1357597.0,0.918529748916626,0.9704629182815552,0.918529748916626,0.25536227226257324,28430.0,22285.0,0.2989230155944824,0.9274219870567322,0.909225583076477,1230491.0,284764.0
2,0.9163051247596741,0.9678113460540771,0.9163051247596741,0.2624303996562958,149992.0,109772.0,0.40426957607269287,0.9274385571479797,0.9034200310707092,6102364.0,1403042.0,0.9263076782226562,0.977353572845459,0.9263076782226562,0.21716421842575073,24842.0,21078.0,0.25953906774520874,0.9318811893463135,0.9206817746162415,1231698.0,288352.0
3,0.9263370633125305,0.9756850004196167,0.9263370633125305,0.22020187973976135,127560.0,100309.0,0.34179428219795227,0.9342573881149292,0.9178640246391296,6111827.0,1425474.0,0.9321634769439697,0.9814261794090271,0.9321634769439697,0.19301699101924896,22633.0,19429.0,0.23475320637226105,0.937323808670044,0.927734911441803,1233347.0,290561.0
4,0.9323736429214478,0.9798954129219055,0.9323736429214478,0.19690822064876556,116020.0,92934.0,0.3081669807434082,0.9392567873001099,0.9252946376800537,6119202.0,1437014.0,0.9359981417655945,0.9833934307098389,0.9359981417655945,0.17950616776943207,21410.0,18308.0,0.2204669862985611,0.9409594535827637,0.9316397905349731,1234468.0,291784.0
5,0.9358429908752441,0.9823213219642639,0.9358429908752441,0.18313360214233398,109463.0,88422.0,0.28832709789276123,0.942283034324646,0.9295166730880737,6123714.0,1443571.0,0.9394305348396301,0.9848052859306335,0.9394305348396301,0.16960635781288147,20299.0,17383.0,0.20975807309150696,0.9439760446548462,0.9351871609687805,1235393.0,292895.0
6,0.9387579560279846,0.9839906692504883,0.9387579560279846,0.17317666113376617,104211.0,84895.0,0.2737267315387726,0.9446476101875305,0.9328984618186951,6127241.0,1448823.0,0.9416495561599731,0.9856054782867432,0.9416495561599731,0.16331583261489868,19472.0,16734.0,0.20272444188594818,0.9460986256599426,0.9378276467323303,1236042.0,293722.0
7,0.9406406879425049,0.985107421875,0.9406406879425049,0.16611643135547638,100057.0,82449.0,0.2630613148212433,0.9463021755218506,0.9355732202529907,6129687.0,1452977.0,0.9434599876403809,0.9861388206481934,0.9434599876403809,0.15840785205364227,18812.0,16248.0,0.19712533056735992,0.947693407535553,0.9399349689483643,1236528.0,294382.0
8,0.9423180818557739,0.9859317541122437,0.9423180818557739,0.16077692806720734,96969.0,80472.0,0.25483086705207825,0.9476276636123657,0.937561571598053,6131664.0,1456065.0,0.9437153935432434,0.9861768484115601,0.9437153935432434,0.15717950463294983,18730.0,16148.0,0.19528156518936157,0.9480122923851013,0.9401968121528625,1236628.0,294464.0
9,0.9439954161643982,0.9866689443588257,0.9439954161643982,0.15572324395179749,94119.0,78385.0,0.24718070030212402,0.9490112662315369,0.9393966794013977,6133751.0,1458915.0,0.9457301497459412,0.9868545532226562,0.9457301497459412,0.15186306834220886,18104.0,15616.0,0.18942347168922424,0.9497402906417847,0.9421955943107605,1237160.0,295090.0
