epoch,accuracy,auc,categorical_accuracy,categorical_crossentropy,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_categorical_accuracy,val_categorical_crossentropy,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.6040058135986328,0.6001430749893188,0.6040058135986328,1.558840274810791,1553038.0,0.0,1.8983778953552246,0.0,0.0,6212152.0,0.0,0.859105110168457,0.8874356150627136,0.859105110168457,1.4772931337356567,313198.0,0.0,1.4811179637908936,0.0,0.0,1252792.0,0.0
1,0.8102731704711914,0.7783839106559753,0.8102731704711914,1.3793317079544067,1540752.0,520.0,1.6946280002593994,0.9593940377235413,0.007910946384072304,6211632.0,12286.0,0.8663848638534546,0.8920192718505859,0.8663848638534546,1.1794482469558716,304176.0,33.0,1.183957576751709,0.9963555932044983,0.028806058689951897,1252759.0,9022.0
2,0.8399826884269714,0.8254508376121521,0.8399826884269714,1.130712628364563,1322337.0,17062.0,1.4217029809951782,0.9311357736587524,0.1485482007265091,6195090.0,230701.0,0.8761805891990662,0.9094313383102417,0.8761805891990662,0.9031059145927429,200276.0,6944.0,0.9082014560699463,0.9420686364173889,0.3605450987815857,1245848.0,112922.0
3,0.8579190969467163,0.8641544580459595,0.8579190969467163,0.9189580082893372,948175.0,43218.0,1.1987136602401733,0.9333139061927795,0.3894708454608917,6168934.0,604863.0,0.8875982761383057,0.9313969612121582,0.8875982761383057,0.7022079229354858,84301.0,10966.0,0.707684338092804,0.9542822241783142,0.7308380007743835,1241826.0,228897.0
4,0.8730005025863647,0.8947910070419312,0.8730005025863647,0.7640137672424316,606990.0,58180.0,1.0330462455749512,0.9420649409294128,0.6091595888137817,6153972.0,946048.0,0.9009987115859985,0.9493228793144226,0.9009987115859985,0.5728217363357544,59628.0,12619.0,0.5785347819328308,0.9525938630104065,0.8096156716346741,1240173.0,253570.0
5,0.8860787749290466,0.9147605895996094,0.8860787749290466,0.654934287071228,435611.0,64180.0,0.908291757106781,0.9456841349601746,0.7195103764533997,6147972.0,1117427.0,0.9138979315757751,0.9576582908630371,0.9138979315757751,0.48472172021865845,52356.0,12781.0,0.4905984103679657,0.9532897472381592,0.8328341841697693,1240011.0,260842.0
6,0.8959104418754578,0.9255353808403015,0.8959104418754578,0.5765104293823242,352722.0,66621.0,0.8115972280502319,0.9474157094955444,0.7728825807571411,6145531.0,1200316.0,0.921455442905426,0.9615394473075867,0.921455442905426,0.4212518334388733,49298.0,12583.0,0.42725348472595215,0.9544890522956848,0.8425979614257812,1240209.0,263900.0
7,0.9013076424598694,0.9318016171455383,0.9013076424598694,0.5175396800041199,300954.0,69913.0,0.7334991097450256,0.9471156001091003,0.8062159419059753,6142239.0,1252084.0,0.9238213300704956,0.9637960195541382,0.9238213300704956,0.37444743514060974,37740.0,12958.0,0.3805321455001831,0.9550718665122986,0.8795011639595032,1239834.0,275458.0
8,0.9034125208854675,0.9354134202003479,0.9034125208854675,0.47329428791999817,256613.0,79155.0,0.6713539958000183,0.9424570202827454,0.8347671031951904,6132997.0,1296425.0,0.9247185587882996,0.9656757712364197,0.9247185587882996,0.3399549126625061,29951.0,16145.0,0.34607768058776855,0.9460740685462952,0.9043704271316528,1236647.0,283247.0
9,0.9048928618431091,0.9374402165412903,0.9048928618431091,0.4397003650665283,222746.0,90451.0,0.6220299601554871,0.9363354444503784,0.8565739989280701,6121701.0,1330292.0,0.9251368045806885,0.9673255085945129,0.9251368045806885,0.3148546516895294,27979.0,18018.0,0.32096895575523376,0.9405811429023743,0.9106667637825012,1234774.0,285219.0
10,0.9062321782112122,0.9398341774940491,0.9062321782112122,0.4128221273422241,200098.0,99416.0,0.5820924043655396,0.9315484762191772,0.8711570501327515,6112736.0,1352940.0,0.925986111164093,0.9689266085624695,0.925986111164093,0.29598402976989746,26905.0,18893.0,0.3020574152469635,0.9380934834480286,0.9140958786010742,1233899.0,286293.0
11,0.9076345562934875,0.9420070648193359,0.9076345562934875,0.39143532514572144,185921.0,105034.0,0.5505361557006836,0.9286527037620544,0.8802856206893921,6107118.0,1367117.0,0.9267652034759521,0.9706063270568848,0.9267652034759521,0.2811530530452728,26175.0,19224.0,0.28716355562210083,0.9372271299362183,0.9164266586303711,1233568.0,287023.0
12,0.9091567397117615,0.9442187547683716,0.9091567397117615,0.3734448254108429,177126.0,107386.0,0.5251885652542114,0.9276032447814941,0.8859487175941467,6104766.0,1375912.0,0.9275698065757751,0.972146213054657,0.9275698065757751,0.2690507769584656,25696.0,19295.0,0.27498236298561096,0.9371082782745361,0.9179560542106628,1233497.0,287502.0
13,0.9105566143989563,0.9466780424118042,0.9105566143989563,0.3573615550994873,171215.0,108411.0,0.5029342770576477,0.9272523522377014,0.8897547721862793,6103741.0,1381823.0,0.9287799000740051,0.9738562703132629,0.9287799000740051,0.25763827562332153,25227.0,19116.0,0.26349377632141113,0.937750518321991,0.919453501701355,1233676.0,287971.0
14,0.9122133255004883,0.949314296245575,0.9122133255004883,0.3424011468887329,166321.0,107992.0,0.4832029938697815,0.9277504682540894,0.8929060101509094,6104160.0,1386717.0,0.9294567704200745,0.9752184152603149,0.9294567704200745,0.24825245141983032,24881.0,19014.0,0.25402897596359253,0.9381318688392639,0.9205582141876221,1233778.0,288317.0
15,0.913318932056427,0.9517049789428711,0.913318932056427,0.32990315556526184,163308.0,107714.0,0.4667106866836548,0.9280681014060974,0.8948460817337036,6104438.0,1389730.0,0.9306285381317139,0.9765186905860901,0.9306285381317139,0.23881833255290985,24434.0,18795.0,0.2445264458656311,0.9388898015022278,0.9219854474067688,1233997.0,288764.0
16,0.9141630530357361,0.9539075493812561,0.9141630530357361,0.31864413619041443,160659.0,107292.0,0.4526614844799042,0.9284563064575195,0.896551787853241,6104860.0,1392379.0,0.9312032461166382,0.977583646774292,0.9312032461166382,0.2317616194486618,24254.0,18735.0,0.2374054342508316,0.9391086101531982,0.9225601553916931,1234057.0,288944.0
17,0.9150368571281433,0.9560773372650146,0.9150368571281433,0.3087027370929718,158153.0,106824.0,0.43981602787971497,0.9288650751113892,0.8981654047966003,6105328.0,1394885.0,0.9316853880882263,0.9783215522766113,0.9316853880882263,0.22576725482940674,24040.0,18661.0,0.23135307431221008,0.939376711845398,0.9232434630393982,1234131.0,289158.0
